,cpi,ppi,trend_inflation
Sample Size,183.0,183.0,183.0
MIN,85.351,93.87,23.0
Q1,93.23349999999999,98.995,31.0
Q2,97.632,101.3,36.0
Q3,102.05,105.73,53.0
MAX,116.29,120.33,100.0
Average,98.82454644808743,103.90743169398908,43.7103825136612
Variance,61.97595850195159,58.65337193898997,298.6903861166157
Std,7.872481089335914,7.658548944740771,17.2826614303647
