,cpi,trend_mulga
Sample Size,183.0,183.0
MIN,85.351,24.0
Q1,93.23349999999999,32.0
Q2,97.632,37.0
Q3,102.05,53.0
MAX,116.29,100.0
Average,98.82454644808743,44.49726775956284
Variance,61.97595850195159,313.59202546087795
Std,7.872481089335914,17.708529737414057
