,cpi,ppi,trend_gap
Sample Size,183.0,183.0,183.0
MIN,85.351,93.87,28.0
Q1,93.23349999999999,98.995,36.0
Q2,97.632,101.3,45.0
Q3,102.05,105.73,61.5
MAX,116.29,120.33,100.0
Average,98.82454644808743,103.90743169398908,50.34426229508197
Variance,61.97595850195159,58.65337193898997,290.6665465681859
Std,7.872481089335914,7.658548944740771,17.048945614558864
