,cpi,ppi
Sample Size,183.0,183.0
MIN,85.351,93.87
Q1,93.23349999999999,98.995
Q2,97.632,101.3
Q3,102.05,105.73
MAX,116.29,120.33
Average,98.82454644808743,103.90743169398908
Variance,61.97595850195159,58.65337193898997
Std,7.872481089335914,7.658548944740771
