rmse,mae,r2,diff_log_rmse,diff_log_mae,diff_log_r2
30341.036593858113,15588.940291436897,-7.488126777572935,0.1289305194480525,0.11639184471028168,-1.5596563549313807
23381.25182021048,12193.213077895229,-4.040650053920136,0.1195062745004633,0.1079998125008434,-1.199133600872611
41045.26378779863,20945.43283116061,-14.53377932468229,0.14627316802954404,0.1332500300413084,-2.294576024694817
54930.31723995474,27582.308102004114,-26.821160609825203,0.16325259768528994,0.14872567073560872,-3.1038398046599642
47633.493668006704,24050.832158756635,-19.92068501895282,0.15393166404433373,0.139960152070295,-2.648598934660976
11003.325999042005,6008.48736607272,-0.11634643351233676,0.09693624119191241,0.08641941441811024,-0.44691343578760656
25431.60222827846,13410.322821649299,-4.963462236427888,0.12290973135519755,0.11106750462171334,-1.3261768930061204
55370.53385603715,27952.40990483004,-27.268870124004653,0.16480654583769638,0.15057690656241893,-3.182337854888388
37960.51930476163,19540.1775478049,-12.286644618812456,0.14240844391899735,0.12998715754406767,-2.1227820939467597
11571.777858773836,6435.587251377488,-0.23467087892591554,0.09842728345615478,0.08793623093482751,-0.4917676894096159
