model,variable,loss,dm_stat,p_value
VAR(2),trend_inflation,mse,-0.0788529679619531,0.9371495728270396
VAR(2),trend_inflation,mse,-0.0788529679619531,0.9371495728270396
VAR(2),trend_inflation,mse,-0.0788529679619531,0.9371495728270396
VAR(2),trend_inflation,mse,-0.0788529679619531,0.9371495728270396
VAR(2),trend_inflation,mse,-0.0788529679619531,0.9371495728270396
VAR(2),trend_inflation,mse,-0.0788529679619531,0.9371495728270396
LSTM(1%200%1%100%16),trend_inflation,mse,1.6594763758300313,0.0970198372303907
GRU(1%200%1%100%16),trend_inflation,mse,0.3089896367348197,0.7573294100462276
GRU(1%200%1%100%16),trend_inflation,mse,0.3089896367348197,0.7573294100462276
LSTM(1%200%1%100%16),trend_inflation,mse,1.6594763758300313,0.09701983723039076
