model,variable,loss,dm_stat,p_value
VAR(7),trend_inflation,mse,-0.182078761060184,0.855520916331753
LSTM(1%200%1%100%16),trend_inflation,mse,0.806533462090035,0.419935321871518
VAR(2),trend_inflation,mse,0.0312110259596679,0.975101246754948
VAR(2),trend_inflation,mse,0.0312110259596679,0.975101246754948
VAR(7),trend_inflation,mse,-0.182078761060184,0.855520916331753
LSTM(1%200%1%100%16),trend_inflation,mse,0.806533462090035,0.419935321871518
GRU(1%200%1%100%16),trend_inflation,mse,2.5736563792561404,0.010063015992591406
