rmse,mae,r2,diff_log_rmse,diff_log_mae,diff_log_r2
20112.63375039192,10923.086725005682,-2.9087138038531712,0.1552454680204421,0.1261890983385952,-0.3474687047768339
16713.64981194203,9179.779804636217,-1.699221839291054,0.150315049587483,0.1211976663075995,-0.2632396667053667
33736.83857452109,17792.94134943602,-9.997772923931567,0.1733903675845418,0.1432617511790363,-0.6808569727309368
29153.55673047876,15510.564729461248,-7.212569815359846,0.1678517195401221,0.1374515847803521,-0.5751880734250043
29849.16897503896,15859.501137186264,-7.609153894170065,0.1687066384542797,0.1381888097963103,-0.5912747426211158
21117.473776671595,11426.172751515283,-3.309033884738529,0.156550289273077,0.1273338750802588,-0.370214548374348
24435.29467156666,13122.917680511053,-4.769406552733583,0.1614661615297259,0.131452506363701,-0.4576184864520025
20004.90766056492,10860.007880299465,-2.8669546982759067,0.154976838602982,0.1259506102207414,-0.3428095469905778
50352.277275134045,26027.23232182779,-23.49820228475659,0.1917943868345982,0.1610285199126967,-1.0566131620279218
19758.547115002413,10736.121811319565,-2.772298022277245,0.1546444916459824,0.1256164467139157,-0.3370564273664074
26523.434834131243,14143.832619119861,-6.6643327719387555,0.1634941411073234,0.13376708686932068,-0.5022340331470515
