rmse,mae,r2,diff_log_rmse,diff_log_mae,diff_log_r2
17981.149405019198,9640.948237507717,-2.124142833774061,0.167279385282537,0.1369476721488547,-0.5644643573844794
19543.84186077902,10432.393576710596,-2.690760482346994,0.1680779325453732,0.1387951156301411,-0.5794366821344055
27776.26757188288,14476.543638000066,-6.454933201239111,0.1786435767446635,0.1484619235796841,-0.7842497163890689
27943.034410821943,14609.170888671451,-6.544719764013655,0.1827465555269773,0.1508134460253628,-0.8671500706818835
32303.974054044484,16712.452398070865,-9.083420711962471,0.1835162946567484,0.1536645000977429,-0.8829122861757464
26481.76707316943,13884.736243336572,-5.776257558741117,0.1756429899354131,0.1475728656652681,-0.724814793041366
20424.22287004614,10880.464713185203,-3.03076114853887,0.1691056115041942,0.1404523855252178,-0.5988100293122336
22479.841630782725,11882.295909016504,-3.882952243397998,0.1738408863819661,0.1445462014082186,-0.6896030347043434
38734.68293845175,19890.636777648506,-13.497595990729998,0.1947741730338741,0.1618025308651837,-1.1210141395279702
17484.10400260781,9487.772536366358,-1.9538112790713489,0.1761874226244311,0.1357992992602897,-0.7355240267528993
25115.288581760542,13189.741491851386,-5.503935521381562,0.1769814828236178,0.14588559402059634,-0.7547979136104396
