rmse,mae,r2,diff_log_rmse,diff_log_mae,diff_log_r2
1656.3059238545957,862.7979677538883,0.9599427182987382,0.066504824657205,0.0541214615560675,-0.0534871932677618
390.14492845139335,238.44360288473808,0.9977774461307536,0.0649923787163397,0.0514420191901033,-0.0061154537945831
2660.472745415192,1413.4609863381393,0.8966482123652831,0.0703063283139409,0.0542179043137225,-0.1773668149640188
1004.3502403907456,562.5709018756235,0.9852710855372128,0.0658337035287001,0.0511724621100418,-0.0323323327159863
1417.8027550177426,773.0584774066293,0.970648385408545,0.0662869891282798,0.0517066240353577,-0.0465971337668598
1448.9345495727457,784.3740399727508,0.9693452413807648,0.0664248909488071,0.0519441137754115,-0.0509562932293832
2980.364945140048,1584.8107254128463,0.8703002145841406,0.0718440873459915,0.0552607527522796,-0.2294334337480545
349.225495827263,229.3075446992493,0.998219211880565,0.065589365497612,0.0523826301551962,-0.0246836678968676
396.9740573863393,252.99425823582973,0.997698957624366,0.0654605769660835,0.0523149242457851,-0.020663566743692
1458.9516929541007,793.247880304782,0.9689199156398228,0.0662177069776393,0.0516396259311033,-0.0444105023388883
1376.3527334010166,749.5066384884476,0.9614771388850192,0.0669460852080599,0.05262025180650685,-0.06860463924660955
