rmse,mae,r2,diff_log_rmse,diff_log_mae,diff_log_r2
34149.64364372849,17503.238679600145,-9.752844891762305,0.1353111152146564,0.122887683074247,-1.819273085990762
15475.830803220531,8151.739106846238,-1.2083045886290695,0.1038829159532186,0.0919361421835114,-0.6617223522479028
38215.94021372032,19573.095421187467,-12.466047023088429,0.1434171740773949,0.1299442819362592,-2.1671783507627334
44651.88277097501,22690.189745935186,-17.383600799421664,0.1520384413673244,0.1385128817563962,-2.5594018022678164
49888.73979265416,25256.935001723352,-21.94859472172432,0.1587349682693452,0.1446057281499815,-2.87985430592605
17098.781511190762,8997.811437321092,-1.6957608063131788,0.1079441553927885,0.0963039556514908,-0.7941901314159767
22955.73454726747,11929.94419641533,-3.8588491626404178,0.1193005973002607,0.1057729283344437,-1.1915704429286635
41476.7015521369,21207.39834502577,-14.862055033970446,0.1488263667590101,0.1352335534101438,-2.4105934819912296
40714.94392179692,20764.54811766981,-14.284763063162936,0.1488668367079975,0.1341839950885089,-2.412448600997768
17680.617264324745,9367.135545444871,-1.8823444215834004,0.1098612848389087,0.098984341757664,-0.8584870795303778
32230.88160210153,16544.203559716927,-9.934316451229616,0.1328183855880905,0.11983654913426463,-1.7754719634059282
