rmse,mae,r2,diff_log_rmse,diff_log_mae,diff_log_r2
57930.30374572658,30194.68821990649,-29.943015883727707,0.1705499953927031,0.15775065338668345,-3.478923270646578
993.1804863086563,737.628575568452,0.9909049019541384,0.10105543615526728,0.07789913391216685,-0.5724960389621865
2786.1202705337237,1777.1975224389653,0.9284267482079385,0.09115304937632518,0.07486045459331346,-0.2794184292919706
37388.33635108586,19718.41053719178,-11.88912130398742,0.146601123010837,0.13283905976729493,-2.309365939781041
8090.092639318411,4915.791752145484,0.39652675773621604,0.1049757266359402,0.08836893867924782,-0.6968676786777808
1677.9066255117395,1146.1389442767158,0.9740410807874428,0.08974008531983105,0.07320553163112474,-0.24006130145262738
926.8916542374403,721.4065896952025,0.9920784718013406,0.09071245989533598,0.07018641392641795,-0.26708014803985436
23606.479099488923,13030.809688042684,-4.1382290830300255,0.12720590823285802,0.11569995526191494,-1.4916369618296073
21655.40578503783,11757.485348874643,-3.323980045898364,0.12141660860356655,0.11084783170339364,-1.2700028088085271
4681.556193763129,2994.467775577275,0.7979161950897062,0.09646601762848908,0.07980363946631523,-0.4329099508407772
