rmse,mae,r2,diff_log_rmse,diff_log_mae,diff_log_r2
30341.036593858116,15588.940291436897,-7.488126777572935,0.1289305194480525,0.1163918447102816,-1.5596563549313809
23381.25182021048,12193.213077895229,-4.040650053920136,0.1195062745004633,0.1079998125008434,-1.199133600872611
41045.26378779863,20945.43283116061,-14.53377932468229,0.146273168029544,0.1332500300413084,-2.294576024694817
54930.31723995474,27582.308102004117,-26.821160609825203,0.1632525976852899,0.1487256707356087,-3.103839804659964
47633.493668006704,24050.832158756635,-19.92068501895282,0.1539316640443337,0.139960152070295,-2.648598934660976
11003.325999042005,6008.48736607272,-0.1163464335123367,0.0969362411919124,0.0864194144181102,-0.4469134357876065
25431.60222827846,13410.3228216493,-4.963462236427888,0.1229097313551975,0.1110675046217133,-1.3261768930061204
55370.53385603715,27952.40990483004,-27.268870124004653,0.1648065458376963,0.1505769065624189,-3.182337854888388
37960.51930476163,19540.1775478049,-12.286644618812456,0.1424084439189973,0.1299871575440676,-2.12278209394676
11571.777858773836,6435.587251377488,-0.2346708789259155,0.0984272834561547,0.0879362309348275,-0.4917676894096159
33866.91223567217,17370.771135298794,-11.767439607663663,0.13373824694676414,0.12123147241394745,-1.837578268685824
