rmse,mae,r2,diff_log_rmse,diff_log_mae,diff_log_r2
16691.916570296467,8824.210559175614,-1.5689960687332678,0.1047564407135783,0.09460768693404296,-0.6897858405579811
6040.072165757852,3366.521610008954,0.6636160360170238,0.08390322904724169,0.07150352876856896,-0.08399567335960101
32894.83398280388,17008.644878876246,-8.97714828073239,0.13597298212431672,0.12251148835874714,-1.84692118038646
38098.01865280268,19496.03499017223,-12.383071837612283,0.14165672475933677,0.12901592965977507,-2.089901185867797
57996.355033873086,29142.799681965073,-30.01361766194652,0.16609495684288506,0.15177140351193266,-3.247986136653161
3135.4591681860697,2046.558920964081,0.9093530224422485,0.09222242724705611,0.07376531610311342,-0.3096139585991442
31821.60059321548,16388.0312687095,-8.336735799753319,0.1327186045169636,0.11992287353731312,-1.7122755669299976
33996.59689909479,17671.912839577806,-9.65667989367898,0.13868432000612413,0.12581454432067393,-1.96158990712844
1594.6404792027863,1053.2409186440088,0.9765535769129785,0.08326795194158644,0.06734415402266912,-0.06764277213852532
4379.4779819956275,2671.649455574943,0.8231538035944349,0.08954520817789816,0.07339607526283733,-0.23468138208525668
