,cpi,trend_gap
Sample Size,183.0,183.0
MIN,85.351,28.0
Q1,93.23349999999999,36.0
Q2,97.632,45.0
Q3,102.05,61.5
MAX,116.29,100.0
Average,98.82454644808743,50.34426229508197
Variance,61.97595850195159,290.6665465681859
Std,7.872481089335914,17.048945614558864
